Race,Theme,Personality,Clothing
,,Subtle,
,,Superficial,
,,Superstitious,
,,Supportive,
,,Suspicious,
,,Sympathetic,
,,Taciturn,
,,Tactful,
,,Talkative,
,,Tenacious,
,,Thoughtful,
,,Thrifty,
,,Timid,
,,Timorous,
,,Tolerant,
,,Tolerant,
,,Tomboy,
,,Tranquil,
,,Trusting,
,,Trustworthy,
,,Uneducated,
,,Unlucky,
,,Unpredictable,
,,Unyielding,
,,Vengeful,
,,Versatile,
,,Vigilant,
,,Vindictive,
,,Vindictive,
,,Violent,
,,Warm-hearted,
,,Whiny,
,,Wise,
,,Witty,
,,Womanizer,
,,Yandere,
,,Yangire,
,,Zealous,
